Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
75,tt2230051,2021-12-15,2021-12-15,,"Старшая школа DxD","High School DxD",https://www.imdb.com/title/tt2230051/,TV Series,7.5,23,2012,"Animation, Action, Comedy, Fantasy, Romance",16240,2012-01-06,
76,tt13196080,2021-12-15,2021-12-15,,"Токийские мстители","Tôkyô Ribenjâzu",https://www.imdb.com/title/tt13196080/,TV Series,7.7,24,2021,"Animation, Action, Drama",31570,2021-04-11,
77,tt4731072,2021-12-15,2021-12-15,,"В поисках божественного рецепта","Shokugeki no Soma",https://www.imdb.com/title/tt4731072/,TV Series,8.0,24,2015,"Animation, Comedy, Drama, Fantasy, Thriller",14426,2015-03-03,
78,tt1118804,2021-12-15,2021-12-15,,"Кланнад","Kuranado",https://www.imdb.com/title/tt1118804/,TV Series,8.2,24,2007,"Animation, Comedy, Drama, Fantasy, Romance",16391,2007-10-05,
79,tt5370118,2021-12-15,2021-12-15,,"Богиня благословляет этот прекрасный мир","Kono subarashii sekai ni shukufuku o!",https://www.imdb.com/title/tt5370118/,TV Series,7.8,24,2016,"Animation, Adventure, Comedy, Fantasy",19305,2016-01-12,
80,tt11043632,2021-12-15,2021-12-15,,"Выдающиеся звери","Beastars",https://www.imdb.com/title/tt11043632/,TV Series,7.6,23,2019,"Animation, Crime, Drama, Fantasy, Mystery, Romance, Thriller",15027,2019-10-08,
81,tt7222086,2021-12-15,2021-12-15,,"Созданный в Бездне","Made in Abyss",https://www.imdb.com/title/tt7222086/,TV Series,8.3,,2017,"Animation, Action, Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",19652,2017-07-07,
82,tt8993398,2021-12-15,2021-12-15,,"Этот глупый свин не понимает мечту девочки-зайки","Seishun buta yaro wa Bunny Girl-senpai no yume wo minai",https://www.imdb.com/title/tt8993398/,TV Series,8.0,24,2018,"Animation, Drama, Fantasy, Mystery, Romance, Thriller",23285,2018-10-04,
83,tt0315008,2021-12-15,2021-12-15,,"Крутой учитель Онидзука","GTO",https://www.imdb.com/title/tt0315008/,TV Series,8.5,24,1999,"Animation, Comedy, Drama, Romance",13813,1999-06-30,
84,tt9522300,2021-12-15,2021-12-15,,"Госпожа Кагуя: В любви как на войне","Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~",https://www.imdb.com/title/tt9522300/,TV Series,8.5,24,2019,"Animation, Comedy, Romance",26421,2019-01-12,
85,tt0816407,2021-12-15,2021-12-15,,"Меланхолия Харухи Судзумии","Suzumiya Haruhi no yûutsu",https://www.imdb.com/title/tt0816407/,TV Series,7.7,24,2006,"Animation, Comedy, Drama, Fantasy, Sci-Fi",9801,2006-04-02,
86,tt4869896,2021-12-15,2021-12-15,,"Повелитель","Ôbârôdo",https://www.imdb.com/title/tt4869896/,TV Series,7.6,30,2015,"Animation, Action, Adventure, Fantasy, Sci-Fi",18015,2015-07-07,
87,tt9054364,2021-12-15,2021-12-15,,"О моём перерождении в слизь","Tensei Shitara Suraimu Datta Ken",https://www.imdb.com/title/tt9054364/,TV Series,8.0,25,2018,"Animation, Action, Adventure, Comedy, Fantasy",21489,2018-10-02,
88,tt0367439,2021-12-15,2021-12-15,,"Волчий дождь","Wolf's Rain",https://www.imdb.com/title/tt0367439/,TV Series,7.9,701,2003,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",8734,2003-01-06,
89,tt5514358,2021-12-15,2021-12-15,,"Врата Штейна: Ноль","Steins;Gate 0",https://www.imdb.com/title/tt5514358/,TV Series,8.4,30,2018,"Animation, Drama, Mystery, Sci-Fi, Thriller",13840,2018-04-12,
90,tt0426719,2021-12-15,2021-12-15,,"Охотник х Охотник","Hunter x Hunter",https://www.imdb.com/title/tt0426719/,TV Series,8.6,23,1999,"Animation, Action, Adventure, Comedy, Fantasy",11717,1999-10-16,
91,tt6112556,2021-12-20,2021-12-20,,"Юри на льду","Yuri!!! On Ice",https://www.imdb.com/title/tt6112556/,TV Mini Series,8.2,20,2016,"Animation, Comedy, Drama, Romance, Sport",11966,2016-10-05,
92,tt2348803,2021-12-20,2021-12-20,,"Баскетбол Куроко","Kuroko No Basket",https://www.imdb.com/title/tt2348803/,TV Series,8.2,24,2012,"Animation, Comedy, Sport",14606,2012-04-07,
93,tt11147852,2021-12-20,2021-12-20,,"Дорохэдоро","Dorohedoro",https://www.imdb.com/title/tt11147852/,TV Series,8.0,25,2020,"Animation, Action, Comedy, Fantasy, Horror, Sci-Fi",14072,2020-01-13,
94,tt1634208,2021-12-20,2021-12-20,,"Президент - горничная!","Kaichou wa meido-sama!",https://www.imdb.com/title/tt1634208/,TV Series,7.9,24,2010,"Animation, Comedy, Romance",10343,2010-04-01,
95,tt8690728,2021-12-20,2021-12-20,,"Убийца гоблинов","Goblin Slayer",https://www.imdb.com/title/tt8690728/,TV Series,7.3,30,2018,"Animation, Action, Adventure, Fantasy, Horror",12504,2018-10-07,
96,tt0857297,2021-12-20,2021-12-20,,"Добро пожаловать в N.H.K.","N.H.K ni yôkoso!",https://www.imdb.com/title/tt0857297/,TV Series,8.2,24,2006,"Animation, Comedy, Drama, Romance, Thriller",9426,2006-07-09,
97,tt0294023,2021-12-20,2021-12-20,,"Kyaputen Tsubasa","Kyaputen Tsubasa",https://www.imdb.com/title/tt0294023/,TV Series,7.9,25,1983,"Animation, Comedy, Drama, Family, Sport",8617,1983-10-13,
98,tt0481256,2021-12-20,2021-12-20,,"Первый шаг","Hajime no Ippo",https://www.imdb.com/title/tt0481256/,TV Series,8.8,30,2000,"Animation, Action, Comedy, Sport",15796,2000-03-27,
99,tt0211145,2021-12-24,2021-12-24,,"Приключения Дигимонов","Dejimon Adobenchâ",https://www.imdb.com/title/tt0211145/,TV Series,7.9,30,1999,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",7755,1999-03-07,
