Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
22,tt1796960,2013-03-18,2013-03-18,,"Родина","Homeland",https://www.imdb.com/title/tt1796960/,TV Series,8.3,60,2011,"Crime, Drama, Mystery, Thriller",372950,2011-10-02,
23,tt0185906,2021-01-24,2021-01-24,,"Братья по оружию","Band of Brothers",https://www.imdb.com/title/tt0185906/,TV Mini Series,9.4,60,2001,"Action, Drama, History, War",575936,2001-09-09,
24,tt2306299,2015-06-14,2015-06-14,,"Викинги","Vikings",https://www.imdb.com/title/tt2306299/,TV Series,8.5,45,2013,"Action, Adventure, Drama, History, Romance, War",628322,2013-03-03,
25,tt1190634,2019-08-01,2019-08-01,,"Пацаны","The Boys",https://www.imdb.com/title/tt1190634/,TV Series,8.6,60,2019,"Action, Comedy, Crime, Drama, Sci-Fi",811932,2019-07-26,
26,tt4955642,2021-01-24,2021-01-24,,"В лучшем мире","The Good Place",https://www.imdb.com/title/tt4955642/,TV Series,8.2,22,2016,"Comedy, Drama, Fantasy, Mystery, Romance",213239,2016-09-19,
27,tt0285331,2013-03-18,2013-03-18,,"24 часа","24",https://www.imdb.com/title/tt0285331/,TV Series,8.4,45,2001,"Action, Crime, Drama, Thriller",204593,2001-11-06,
28,tt0369179,2013-03-18,2013-03-18,,"Два с половиной человека","Two and a Half Men",https://www.imdb.com/title/tt0369179/,TV Series,7.1,22,2003,"Comedy, Romance",293902,2003-09-22,
29,tt0103584,2015-06-15,2015-06-15,,"Люди-Икс","X-Men",https://www.imdb.com/title/tt0103584/,TV Series,8.4,23,1992,"Animation, Action, Adventure, Family, Sci-Fi",53259,1992-10-31,
30,tt5114356,2017-04-12,2017-04-12,,"Легион","Legion",https://www.imdb.com/title/tt5114356/,TV Series,8.1,60,2017,"Action, Sci-Fi, Thriller",102221,2017-02-09,
31,tt2788432,2017-04-12,2017-04-12,,"Американская история преступлений","American Crime Story",https://www.imdb.com/title/tt2788432/,TV Series,8.4,42,2016,"Biography, Crime, Drama, History",101643,2016-02-02,
32,tt0773262,2013-03-18,2013-03-18,,"Декстер","Dexter",https://www.imdb.com/title/tt0773262/,TV Series,8.6,60,2006,"Crime, Drama, Mystery, Thriller",889443,2006-10-01,
33,tt1520211,2013-03-18,2013-03-18,,"Ходячие мертвецы","The Walking Dead",https://www.imdb.com/title/tt1520211/,TV Series,8.1,45,2010,"Drama, Horror, Thriller",1167096,2010-10-31,
34,tt10986410,2021-01-24,2021-01-24,,"Тед Лассо","Ted Lasso",https://www.imdb.com/title/tt10986410/,TV Series,8.8,30,2020,"Comedy, Drama, Sport",421119,2020-08-14,
